"","Row","view","time","name"
"128",128,212087,"2016-02-05","Donald_Trump"
"129",129,134188,"2016-02-06","Donald_Trump"
"130",130,218751,"2016-02-07","Donald_Trump"
"131",131,199101,"2016-02-08","Donald_Trump"
"132",132,152293,"2016-02-09","Donald_Trump"
"133",133,323030,"2016-02-10","Donald_Trump"
"134",134,263117,"2016-02-11","Donald_Trump"
"135",135,208048,"2016-02-12","Donald_Trump"
"136",136,136674,"2016-02-13","Donald_Trump"
"137",137,165298,"2016-02-14","Donald_Trump"
"138",138,112972,"2016-02-15","Donald_Trump"
"139",139,77383,"2016-02-16","Donald_Trump"
"140",140,120530,"2016-02-17","Donald_Trump"
"141",141,177644,"2016-02-18","Donald_Trump"
"142",142,204013,"2016-02-19","Donald_Trump"
"143",143,134136,"2016-02-20","Donald_Trump"
"144",144,304797,"2016-02-21","Donald_Trump"
"145",145,353204,"2016-02-22","Donald_Trump"
"146",146,161589,"2016-02-23","Donald_Trump"
"147",147,279299,"2016-02-24","Donald_Trump"
"148",148,239255,"2016-02-25","Donald_Trump"
"149",149,375076,"2016-02-26","Donald_Trump"
"150",150,235640,"2016-02-27","Donald_Trump"
"151",151,257860,"2016-02-28","Donald_Trump"
"152",152,302397,"2016-02-29","Donald_Trump"
"153",153,409511,"2016-03-01","Donald_Trump"
"154",154,549599,"2016-03-02","Donald_Trump"
"155",155,498636,"2016-03-03","Donald_Trump"
"156",156,2368814,"2016-03-04","Donald_Trump"
"157",157,4034771,"2016-03-05","Donald_Trump"
"158",158,2989680,"2016-03-06","Donald_Trump"
"159",159,2091519,"2016-03-07","Donald_Trump"
"160",160,827165,"2016-03-08","Donald_Trump"
"161",161,675295,"2016-03-09","Donald_Trump"
"162",162,572772,"2016-03-10","Donald_Trump"
"163",163,477360,"2016-03-11","Donald_Trump"
"164",164,404631,"2016-03-12","Donald_Trump"
"165",165,417722,"2016-03-13","Donald_Trump"
"166",166,369946,"2016-03-14","Donald_Trump"
"167",167,369292,"2016-03-15","Donald_Trump"
"168",168,460921,"2016-03-16","Donald_Trump"
"169",169,303007,"2016-03-17","Donald_Trump"
"170",170,264485,"2016-03-18","Donald_Trump"
"171",171,215619,"2016-03-19","Donald_Trump"
"172",172,209466,"2016-03-20","Donald_Trump"
"173",173,218749,"2016-03-21","Donald_Trump"
"174",174,249108,"2016-03-22","Donald_Trump"
